path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
DeepHouse/001 - Session Victim - The Unheard - 2025.mp3,new,256.6,116.0,-11.5,-6.35,2200.0,1.994,0.7145,
DeepHouse/002 - Rick Wade  - Intrusive Emotions - 2025.mp3,new,352.0,120.0,-17.48,-11.85,2795.0,1.853,0.7441,
DeepHouse/003 - Byron the Aquarius - Long Way Home - 2025.mp3,new,300.1,64.6,-13.01,-7.8,2675.0,1.75,0.9092,
DeepHouse/004 - Laurence Guy - Waiting For Love - 2022.mp3,new,341.8,118.0,-11.03,-5.66,1821.0,2.106,0.8313,
DeepHouse/005 - Deep Spelle - My Heart - 2019.mp3,new,467.0,124.0,-16.51,-10.96,1634.0,2.007,0.7147,
DeepHouse/006 - Sarandub - Don't Tell Me (Original Mix) - 2025.mp3,new,392.0,120.0,-12.02,-6.89,2882.0,1.901,0.7631,
DeepHouse/007 - Artmann - Stick Around - 2023.mp3,new,481.6,64.0,-10.22,-6.46,2669.0,2.816,0.7849,
DeepHouse/008 - DJOKO - Daylight - 2020.mp3,new,356.4,66.3,-10.71,-5.19,2775.0,2.032,0.5661,
"DeepHouse/009 - Black Loops, Kolter - Higher (Kolter Remix) - 2023.mp3",new,354.4,127.8,-13.87,-9.51,2698.0,2.129,0.725,
"DeepHouse/010 - Session Victim, Nebraska - Make It Happen - 2025.mp3",new,267.1,115.0,-12.98,-6.0,1761.0,1.977,0.8219,
DeepHouse/011 - Fouk - Floating - 2025.mp3,new,352.3,123.1,-11.91,-6.33,2546.0,1.622,0.8154,
DeepHouse/012 - Bonetti - House Trippin' - 2016.mp3,new,434.5,124.1,-11.04,-6.29,2626.0,2.229,0.7383,
DeepHouse/013 - Harrison BDP - Cherry - 2025.mp3,new,423.0,124.1,-13.03,-8.35,1959.0,2.233,0.6945,
DeepHouse/014 - Dam Swindle - What you give - 2025.mp3,new,323.8,126.1,-12.14,-7.02,2926.0,1.761,0.73,
DeepHouse/015 - Dennis Quin - Hard Days Work - 2025.mp3,new,205.3,127.9,-9.98,-6.68,3038.0,2.102,0.8135,
DeepHouse/016 - Kerri Chandler - Sunrise [Watergate] - 2022.mp3,new,435.1,124.1,-11.69,-6.91,1934.0,1.978,0.8218,
DeepHouse/017 - Jimpster - Crispy Pancakes - 2026.mp3,new,302.4,123.0,-12.93,-8.95,2486.0,2.085,0.6377,
DeepHouse/018 - Sebb Junior - Body Language (Extended Mix) - 2025.mp3,new,384.0,125.1,-8.79,-4.32,2806.0,2.174,0.7572,
"DeepHouse/019 - Atjazz, Rona Ray, Martin Iveson, Veronika Skorokhod - Shine - 2025.mp3",new,325.3,121.1,-10.96,-7.33,2142.0,1.507,0.6209,
"DeepHouse/020 - Kerri Chandler, NAE (SA) - Caged Bird (Full Vocal Mix) - 2024.mp3",new,482.1,124.0,-12.64,-7.25,2479.0,1.993,0.8332,
DeepHouse/021 - Kevin McKay - Mon Coeur (Extended Mix) - 2026.mp3,new,363.8,128.0,-11.22,-6.42,2575.0,2.563,0.6087,
DeepHouse/022 - Crackazat - Pick Me Up - 2026.mp3,new,199.3,117.8,-12.11,-8.08,2303.0,1.802,0.5174,
DeepHouse/023 - Dario D´Attis & Mr. V： Back To The Old - 2025.mp3,new,414.7,123.1,-12.19,-6.78,2820.0,1.845,0.672,
"DeepHouse/024 - Michael Gray, Dyanna Fearon - I'm Falling For You - 2026.mp3",new,176.3,124.3,-10.93,-6.33,2144.0,1.868,0.7142,
DeepHouse/025 - Pascal Junior - I Needed You - 2025.mp3,new,179.5,119.8,-12.34,-7.86,2881.0,1.396,0.5714,
DeepHouse/026 - Butch ft. Life On Planets - Get High With You (Extended Mix) - 2025.mp3,new,372.0,124.0,-12.0,-6.26,2821.0,1.548,0.7023,
DeepHouse/027 - Dennis Ferrer feat. Janelle Kroll  - Mind Ur Step (Sam Divine Extended Remix) - 2024.mp3,new,439.5,128.0,-13.48,-7.16,2301.0,1.606,0.7866,
"DeepHouse/028 - Girls of the Internet, Anelisa Lamola, Dennis Ferrer - Affirmations (Dennis Ferrer Extended Remix) - 2025.mp3",new,357.5,127.1,-11.73,-6.24,3089.0,2.529,0.7609,
DeepHouse/029 - Sllash & Doppe - Move That Body - 2026.mp3,new,188.9,122.1,-11.37,-5.03,2240.0,1.822,0.7739,
DeepHouse/030 - Purple Disco Machine - Disco Cherry (Extended Mix) - 2026.mp3,new,306.5,124.1,-18.97,-12.42,2059.0,1.668,0.6974,
DeepHouse/031 - Solomun & Inéz - Raider on the Storm (Extended Mix) - 2026.mp3,new,332.4,64.0,-10.53,-5.78,2589.0,1.983,0.8333,
DeepHouse/032 - Ferreck Dawn & Hayley May - Deep Inside (Extended Mix) - 2025.mp3,new,337.4,126.0,-11.23,-6.25,2187.0,1.707,0.7857,
DeepHouse/033 - Low Steppa & Capri - Got The Funk (Extended Mix) - 2025.mp3,new,421.6,64.0,-11.92,-5.71,3144.0,1.459,0.5734,
DeepHouse/034 - Laurence Guy & J Peacock - Everything I've Got - 2026.mp3,new,324.1,126.1,-10.03,-5.81,1562.0,2.064,0.8645,
DeepHouse/035 - Jesse Bru - Sun Strut - 2022.mp3,new,322.7,123.9,-13.49,-7.19,3631.0,1.687,0.7688,
DeepHouse/036 - Gentleman - Escape (Original Mix) - 2026.mp3,new,358.0,120.0,-12.91,-6.99,2142.0,2.087,0.6738,
DeepHouse/_played-before/037 - Sarandub - Stormy Weather (Original Mix) - 2024.mp3,_played-before,392.0,120.0,-12.85,-7.81,1738.0,2.3,0.8255,
DeepHouse/_played-before/038 - Undrsound Soul - Silent Connection (Original Mix) - 2025.mp3,_played-before,249.8,122.0,-12.16,-8.29,2501.0,2.036,0.6996,
