# DrumAndBass - suggested mixing order (light -> aggressive). number | bpm | source | file
# P = played in Marcel Vibe #27 (2026-08-16 Golden Bay). 'old-playlist' = your earlier YouTube D&B prep playlist, 'new' = the Deepium 2026 D&B playlist.
## 1. Soft landing - atmospheric & ambient liquid
010 | 191.4 bpm | old-playlist     | Naughty Boy, Beyoncé, Arrow Benjamin - Runnin' (Lose It All) - 2015.mp3
020 | 162.2 bpm | old-playlist     | Death On The Balcony - Altered Perception - 2019.mp3
030 | 172.6 bpm | old-playlist     | High Contrast - Days go by - 2008.mp3
040 | 172.7 bpm | old-playlist     | London Grammar - If You Wait (Calibre Alternate Remix) - 2019.mp3
050 | 173.7 bpm | old-playlist     | LiquidHour DnB, Nenad Markovic - Crooked Broomstick Haze - 2025.mp3
060 | 170.4 bpm | old-playlist     | LiquidHour DnB, Nenad Markovic - Twirling Pothole Spark - 2025.mp3
070 | 174.3 bpm | old-playlist     | LiquidHour DnB, Nenad Markovic - Flux - 2026.mp3
080 | 174.1 bpm | old-playlist     | LiquidHour DnB, Nenad Markovic - Echo Theory - 2025.mp3
090 | 174.0 bpm | old-playlist     | LiquidHour DnB, Nenad Markovic - Skittering Lamp Whirl - 2025.mp3
100 | 174.0 bpm | new              | LiquidHour DnB, Nenad Markovic - Drip - 2026.mp3
110 | 174.4 bpm | new              | LiquidHour DnB, Nenad Markovic - Blue Heat - 2026.mp3
120 | 173.9 bpm | new              | Tranquil Sparks - Songmas Day 19 - 2025.mp3
130 | 175.0 bpm | old-playlist     | Nelver - Touching Soul - 2023.mp3
140 | 174.4 bpm | old-playlist     | Polaris, Ritual, Vio.let - Lullaby feat. Vio.let - 2021.mp3
150 | 174.7 bpm | old-playlist     | T：Base - Love Me - 2016.mp3
160 | 174.0 bpm | new              | Anwius - Like Us - 2022.mp3
170 | 169.9 bpm | old-playlist     | Vintage & Morelli - Beyond The Horizon - 2018.mp3
180 | 174.3 bpm | old-playlist     | Papa Pedro, Piotr Ostrowski, Piotr Ostrowski - Goodbye - 2026.mp3

## 2. Melodic liquid - Etherwood & friends, warm rollers
190 | 175.2 bpm | old-playlist     | Etherwood - Borderline - Official Video - 2013.mp3
200 | 173.9 bpm | old-playlist     | Etherwood - Light My Way Home (feat. Eva Lazarus) - 2015.mp3
210 | 175.5 bpm | old-playlist     | Etherwood - Souls Apart - 2013.mp3
220 | 174.0 bpm | old-playlist     | Etherwood - Driving Out - 2019.mp3
230 | 173.1 bpm | old-playlist     | Etherwood - Begin By Letting Go - Official Video - 2013.mp3
240 | 173.0 bpm | old-playlist     | Etherwood - Cast Away - 2015.mp3
250 | 174.1 bpm | new              | Etherwood - Away From It All - 2019.mp3
260 | 174.0 bpm | old-playlist     | Tom Walker - Better Half of Me (Etherwood Remix) - 2019.mp3
270 | 175.1 bpm | old-playlist     | Camo & Krooked - All Night (Etherwood Remix) - 2015.mp3
280 | 174.3 bpm | old-playlist     | Technicolour - Ever After - 2012.mp3
290 | 175.3 bpm | old-playlist     | Technicolour, Komatic - The Glow - 2012.mp3
300 | 174.0 bpm | old-playlist     | Alpha Rhythm, Ritual - Downcast - 2021.mp3
310 | 173.9 bpm | old-playlist     | SOLR - Lost In You - 2023.mp3
320 | 173.9 bpm | old-playlist     | SOLR, Kr33per - YGM - 2025.mp3
330 | 173.9 bpm | old-playlist     | Nu：Tone, Maduk, Logistics - Stutter - 2014.mp3
340 | 173.9 bpm | old-playlist     | Nelver - Liberty - 2017.mp3
350 | 172.1 bpm | old-playlist     | Matt View - Change It - 2020.mp3
