# #02 - 2025-04-20 Dingli Cliffs, Malta - set order. OK = mp3 in this folder, MISSING = not available on YouTube
OK      | Mayro - Overtime  ->  PREMIERE： Mayro - Overtime (Original Mix) [Traful ] - 2024.mp3
OK      | Something Good, Yotto - Rhythm (Of The Night)  ->  Something Good, YOTTO - Rhythm (Of The Night) (Extended Mix) - 2022.mp3
OK      | Mark Alow - Shaman  ->  Mark Alow - Shaman (Original Mix) - 2016.mp3
OK      | Nox Vahn, Marsh - Come Together (Matthias Meyer Remix)  ->  Nox Vahn & Marsh - Come Together (Matthias Meyer Remix) - 2020.mp3
OK      | Durante - Leonid  ->  Durante - Leonid - 2024.mp3
MISSING | Elliot Moriarty - By My Side
OK      | Krasa Rosa - Gorushko  ->  Krasa Rosa - Gorushko [Exclusive Premiere] (Live Stream) - 2022.mp3
OK      | Shortcut - Hope  ->  Shortcut - Hope - 2022.mp3
OK      | Marsh, Wassu, Mariel Beausejour - Forgiveness  ->  Marsh & Wassu ft. Mariel Beausejour - Forgiveness (Extended Mix) [Anjunadeep] - 2023.mp3
OK      | Way Out West - Future Perfect (Henry Saiz Mix)  ->  Way Out West - Future Perfect (Henry Saiz Mix) - 2014.mp3
OK      | Dido - Thank You (Deep Dish Vocal)  ->  Dido - Thank You (Deep Dish Vocal - Official Audio) - 2018.mp3
OK      | Shai T, Shai Tibi - We Will Dance Again  ->  Shai T - We Will Dance Again - 2024.mp3
OK      | Jon Gurd - Together (Tom Demac Extended Mix)  ->  Min 2_42_47 ➡ Jon Gurd ＂Together＂ ( Tom Demac extended mix) [ Anjunadeep ] - 2021.mp3
OK      | Eli Spiral, Enertia-sound, Echo Daft, KAZKO - Coded (Remix)  ->  Eli Spiral & Enertia-Sound - Coded (Echo Daft & KAZKO Remix) [Droid9] - 2023.mp3
OK      | Hraach - Focus  ->  Hraach - Focus - 2024.mp3
OK      | Sander van Doorn, LVNDSCAPE - Need To Feel Loved  ->  Sander van Doorn & LVNDSCAPE - Need To Feel Loved (Extended Mix) - 2017.mp3
