# #07 - 2025-06-24 Migra l-Ferha, Malta - set order. OK = mp3 in this folder, MISSING = not available on YouTube
OK      | Nora En Pure - Spring Embers  ->  Nora En Pure — Spring Embers (Extended Mix) - 2023.mp3
OK      | Mayro - Harvest  ->  Mayro - Harvest (Original Mix) [Univack] - 2022.mp3
OK      | Mike Rish - The Quest (Kabi Remix)  ->  Mike Rish - The Quest (Kabi Remix) - 2022.mp3
OK      | Paul Thomas, Christian Burns - Enjoy the Silence  ->  Paul Thomas, Christian Burns - Enjoy the Silence (Extended Mix) - 2024.mp3
OK      | Dhany G, Ryan (CUB) - Antar (Sebastian Haas Remix)  ->  Dhany G & Ryan(CUB) - Antar (Sebastian Haas Remix) - 2021.mp3
OK      | Teklix - Alchemist  ->  Teklix - Alchemist (Original Mix) [Outta Limits] - 2022.mp3
OK      | Franky Wah feat. AETHO - Should Have Seen It Coming (Yotto Remix)  ->  Franky Wah feat. AETHO - Should Have Seen It Coming (Yotto Remix) - 2021.mp3
OK      | Roy Rosenfeld - Lift of Love  ->  Roy Rosenfeld - Lift Of Love [ADID059] - 2020.mp3
OK      | Talemates - Phonga  ->  Talemates - Phonga (Original Mix) - 2022.mp3
OK      | Shai T, Shai Tibi - Summer O'clock  ->  Shai T, Shai Tibi - Summer O'clock · Shai T · Shai Tibi -4 K DIGITAL - 2023.mp3
OK      | Sultan + Shepard - Indigo  ->  Sultan + Shepard - Indigo (Extended Mix) - 2021.mp3
OK      | Makebo - Upside Down  ->  Makebo - Upside Down (Original Mix) - 2022.mp3
OK      | Tonaco, Noronha - Konvergence  ->  PREMIERE： Tonaco & Noronha - Konvergence (Original Mix) [TRANSENSATIONS RECORDS] - 2022.mp3
