# #16 - 2025-09-14 Golden Bay, Malta - set order. OK = mp3 in this folder, MISSING = not available on YouTube
OK      | Emotional - Be With You  ->  EMOTIONAL - Be With You - 2024.mp3
OK      | Moeaike - Everyone Else  ->  Moeaike - Everyone Else (Original Mix) [Impressum] - 2023.mp3
OK      | Demayä - Shadows (Samm (BE) Remix)  ->  Demayä ft. Aleksandra Krstic --- Shadows (Samm (BE) ReMix) - 2026.mp3
OK      | Zakes Bantwini - Osama  ->  Zakes Bantwini, Kasango - Osama (Official Music Video) - 2021.mp3
OK      | Soulroots - Sala Papa Ye  ->  Soulroots & Soul Star - Sala Papa Ye (Extended Mix) - 2025.mp3
OK      | Black Circle - Reasons  ->  Black Circle, Bobbi Fallon - Reasons (Extended Mix) - 2022.mp3
OK      | Joan Sebastian - Sentimental (Sombras)  ->  Joan Sebastian & Sinego - Sentimental (Sombras) - Visualizador Oficial - 2025.mp3
OK      | Solomun - Love Recycled 4  ->  Solomun, Change, Love Recycled, Paolo Gianolio, Tanyayette Willoughby - Love Recycled 4 - 2025.mp3
OK      | Dennis Cruz - Bonito  ->  Dennis Cruz - Bonito - 2024.mp3
OK      | Dennis Cruz - Going Down  ->  Dennis Cruz - Going Down (Original Mix) - 2024.mp3
OK      | Adisyn - Digital Heart  ->  Adisyn - Digital Heart - 2018.mp3
OK      | Mr. Belt & Wezol - Keep It Exciting  ->  Mr. Belt & Wezol, Qobra, Alex Hosking - Keep It Exciting (Extended Mix) - 2024.mp3
OK      | Arielle Free - Feels So Good  ->  Arielle Free - Feels So Good (Extended Mix) - 2023.mp3
OK      | D I N - Parakata  ->  D I N - Parakata [MICR007] - 2023.mp3
OK      | Beard2Beard - Bollywood  ->  DARNO, Georgo, Beard2Beard, Sham.m.am - Bollywood (Original Mix) - 2024.mp3
MISSING | MI.LA - Nishati (Soul Engineers Remix)
OK      | Maxim Zatonski - Welcome To Qatar  ->  Maxim Zatonski & Ivor Zegra - Welcome To Qatar - 2025.mp3
OK      | Backeer - Nikotam  ->  Backeer & Elline - Nikotam (Original Mix) - 2023.mp3
OK      | AMÉMÉ - TORERO  ->  AMÉMÉ - TORERO (Extended Mix) [BLACK BOOK RECORDS] - 2024.mp3
MISSING | Tamer ElDerini - Zurna
MISSING | Savage & SHē - In The Dark (Radio Edit)
MISSING | Dani Masi - Vagabundo de Glock
OK      | Fantomel - Dame Un Grrr (Provi Extended Remix)  ->  Fantomel, Kate Linn, Provi - Dame Un Grrr (Provi Extended Remix) - 2025.mp3
OK      | Neil Amarey - La Tromba (Edit)  ->  Neil Amarey - La Tromba (Edit) @beatport2.0 - 2023.mp3
MISSING | Tobias Bergson - Eschenbach
OK      | Dj Dark - Zorba's Dance (Sirtaki) (Extended)  ->  Dj Dark, Mentol - Zorba's Dance (Sirtaki) (Extended) - 2025.mp3
OK      | No Parachute - Inxeba  ->  No Parachute, Dan Tanev ft. Lizwi - Inxeba (Original Mix) [Scandalosa Records] - 2025.mp3
OK      | Danny Slim - Haide  ->  Danny Slim - Haide - 2022.mp3
OK      | Tebra - Aberdar  ->  Tebra - Aberdar (Original Mix) - #afrohouse - 2025.mp3
OK      | Felipe Puertes - Dope Shit  ->  Felipe Puertes - Dope Shit [Make The Girls Dance Records] - 2025.mp3
MISSING | Mentol - Ring of Fire
