path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
MelodicHouse/001 - A.M.R & Brandon Mignacca - Fell Out of Love - 2020.mp3,new,332.0,116.1,-13.48,-7.5,1613.0,1.132,0.7752,
MelodicHouse/002 - A.M.R & Cornelius SA - Amber Sunlight Falls - 2025.mp3,new,182.0,120.0,-11.82,-6.84,1801.0,1.898,0.7931,
MelodicHouse/003 - A.M.R & Fractures - Mirrorball - 2023.mp3,new,239.1,120.0,-13.26,-7.09,2310.0,1.615,0.5492,
MelodicHouse/004 - A.M.R & MØØNE - Numb - 2025.mp3,new,167.0,120.0,-13.21,-7.1,1899.0,1.691,0.7263,
MelodicHouse/005 - A.M.R - A Flicker of Hope - 2025.mp3,new,196.0,120.0,-12.09,-5.58,1683.0,2.261,0.7991,
MelodicHouse/006 - A.M.R - Bittersweet - 2026.mp3,new,169.5,116.0,-11.69,-7.23,1692.0,2.069,0.7501,
MelodicHouse/007 - A.M.R - Outer Space - 2024.mp3,new,190.3,115.0,-11.59,-7.47,1906.0,1.253,0.7348,
MelodicHouse/008 - A.M.R - Pale Blue - 2019.mp3,new,392.0,119.9,-14.06,-6.72,1921.0,1.219,0.6319,
MelodicHouse/009 - A.M.R - Sealine - 2024.mp3,new,183.4,120.0,-12.5,-7.62,1595.0,1.498,0.8058,
MelodicHouse/010 - A.M.R - Silver Lining (Intro Mix) - 2018.mp3,new,399.0,118.0,-15.42,-8.0,2056.0,1.492,0.7181,
MelodicHouse/011 - A.M.R - Voyager - 2019.mp3,new,383.0,118.0,-13.66,-7.52,2077.0,1.436,0.6595,
MelodicHouse/012 - A.M.R x Blood Groove & Kikis - Lotus - 2024.mp3,new,204.4,120.0,-11.59,-6.53,1821.0,1.689,0.7697,
MelodicHouse/013 - ATTLAS & Mango - Angel Montreal - 2026.mp3,new,179.5,120.0,-13.65,-7.03,1084.0,1.525,0.7322,
MelodicHouse/014 - Aftruu - Addiction - 2022.mp3,new,183.8,117.0,-13.89,-9.94,2034.0,1.393,0.7195,
MelodicHouse/015 - Aftruu - Echoes of You - 2024.mp3,new,177.5,120.0,-13.44,-8.2,1639.0,1.723,0.6407,
MelodicHouse/016 - Aftruu - Falling Asleep - 2023.mp3,new,201.0,118.0,-13.04,-7.93,1881.0,1.794,0.8029,
MelodicHouse/017 - Aftruu - Tribute to Me - 2020.mp3,new,448.0,119.0,-13.01,-6.25,1717.0,2.316,0.8994,
MelodicHouse/018 - Aftruu - Where the Rails Hold Us - 2026.mp3,new,181.3,120.0,-13.18,-6.63,1494.0,1.492,0.5993,
MelodicHouse/019 - Aftruu - Words Left Unsaid - 2022.mp3,new,248.0,121.0,-12.64,-5.94,1989.0,1.763,0.8482,
MelodicHouse/020 - Aleyum & Arnie Way - Midnight Pulse - 2025.mp3,new,176.5,118.0,-12.32,-7.57,1820.0,1.596,0.7224,
MelodicHouse/021 - Aleyum - Galvanic Seasons - 2026.mp3,new,191.2,119.0,-10.99,-7.08,1907.0,1.89,0.8502,
"MelodicHouse/022 - Andrewboy, Bugyi András - Life - 2021.mp3",new,284.0,124.0,-11.23,-5.34,2180.0,2.057,0.6221,
MelodicHouse/023 - Approaching Black & Shingo Nakamura - I'm Still Breathing - 2019.mp3,new,321.0,120.0,-13.83,-7.32,2310.0,1.274,0.6538,
MelodicHouse/024 - Approaching Black - A Cause and Effect - 2022.mp3,new,280.1,120.0,-12.86,-7.33,2114.0,1.588,0.5387,
MelodicHouse/025 - Approaching Black - Alone Again - 2017.mp3,new,310.0,122.0,-11.42,-8.48,1506.0,1.504,0.7725,
MelodicHouse/026 - Approaching Black - Amber Glow - 2026.mp3,new,162.3,120.0,-12.4,-7.5,1882.0,1.639,0.8092,
MelodicHouse/027 - Approaching Black - Closer - 2019.mp3,new,396.0,119.0,-12.58,-8.72,1830.0,1.95,0.7953,
MelodicHouse/028 - Approaching Black - Dream Whispers - 2026.mp3,new,155.2,120.0,-12.06,-7.82,1741.0,1.39,0.6673,
MelodicHouse/029 - Approaching Black - Entering Eden - 2019.mp3,new,308.5,112.0,-12.57,-7.64,1924.0,1.895,0.8539,
MelodicHouse/030 - Approaching Black - Sensitive - 2022.mp3,new,234.6,118.0,-13.54,-7.72,2046.0,1.431,0.6006,
MelodicHouse/031 - Approaching Black - What You Need - 2019.mp3,new,334.0,120.1,-14.36,-10.41,1620.0,1.17,0.6383,
MelodicHouse/032 - Approaching Black - You Fill My Soul - 2022.mp3,new,258.3,120.0,-11.2,-8.82,1988.0,1.555,0.6952,
MelodicHouse/033 - Archaellum - Something Beautiful - 2025.mp3,new,175.1,118.1,-14.53,-9.06,2025.0,2.12,0.6155,
MelodicHouse/034 - Archaellum - Threads - 2021.mp3,new,307.9,118.0,-9.97,-7.24,1477.0,1.62,0.6592,
MelodicHouse/035 - Arnie Way & Toutounji - Somebody - 2026.mp3,new,155.5,118.0,-11.76,-7.07,2177.0,1.575,0.7399,
MelodicHouse/036 - Arnie Way - Let Go - 2026.mp3,new,198.0,118.0,-12.15,-7.35,1825.0,1.708,0.8148,
MelodicHouse/037 - Arnie Way - Only You - 2026.mp3,new,151.4,118.0,-11.52,-6.54,2107.0,1.778,0.6737,
MelodicHouse/038 - Banyan - Ephemeral - 2025.mp3,new,200.0,120.0,-11.07,-6.31,1200.0,1.899,0.6309,
MelodicHouse/039 - Blood Groove & Kikis - Places - 2026.mp3,new,196.8,118.0,-12.18,-7.29,1277.0,1.49,0.7457,
MelodicHouse/040 - Blue Haze - Amber Glow (Blood Groove & Kikis Remix) - 2017.mp3,new,445.2,124.1,-10.1,-6.61,2161.0,2.058,0.7936,
"MelodicHouse/041 - Cassian, YOTTO, Da Hool – Love Parade (Extended Mix) - 2025.mp3",new,249.4,128.0,-10.23,-5.37,3049.0,1.577,0.7167,
