# MelodicHouse - suggested mixing order (light -> aggressive). number | bpm | source | file
## 1. Soft opening - ambient, very gentle, 112-118 bpm
0010 | 130.2 bpm | new              | ORACLE - Echoes - 2022.mp3
0020 | 130.0 bpm | new              | Enviado Vida - Retinal Pathology - 2017.mp3
0030 | 120.0 bpm | new              | Elypsis feat. Mandy Reign - I Won't Let Go - 2018.mp3
0040 | 118.0 bpm | new              | A.M.R - Silver Lining (Intro Mix) - 2018.mp3
0050 | 120.1 bpm | new              | Approaching Black - What You Need - 2019.mp3
0060P | 120.0 bpm | _played-before   | Approaching Black & Shingo Nakamura - I'm Still Breathing - 2019.mp3
0070 | 119.9 bpm | new              | A.M.R - Pale Blue - 2019.mp3
0080 | 118.0 bpm | new              | Faodail - Turning - 2024.mp3
0090 | 119.0 bpm | new              | Liam Thomas & Finding Mero - Phrases - 2025.mp3
0100 | 116.1 bpm | new              | A.M.R & Brandon Mignacca - Fell Out of Love - 2020.mp3
0110 | 115.0 bpm | new              | A.M.R - Outer Space - 2024.mp3
0120 | 112.0 bpm | new              | Approaching Black - Entering Eden - 2019.mp3
0130P | 114.0 bpm | _played-before   | Sound Quelle - Lastecostra - 2023.mp3
0140 | 115.0 bpm | new              | Gregory Esayan - Make a Wish (Jay FM Remix) - 2018.mp3
0150 | 115.0 bpm | new              | Enviado Vida - Touch This Feeling - 2026.mp3
0160 | 115.0 bpm | new              | Flexible Fire - South Wind - 2026.mp3
0170 | 115.0 bpm | new              | Flexible Fire - Unfolding Road - 2026.mp3
0180P | 116.0 bpm | _played-before   | Elypsis - Open Road - 2017.mp3
0190P | 116.0 bpm | _played-before   | Dokho - Finding Solane - 2026.mp3
0200 | 116.0 bpm | new              | Dokho & Fløa - Velvia - 2026.mp3
0210 | 116.0 bpm | new              | Duce & Etza - Tuolumne - 2026.mp3
0220 | 116.0 bpm | new              | Enviado Vida - Dirty INC. - 2018.mp3
0230 | 116.0 bpm | new              | Meeting Molly - Westeros - 2020.mp3
