path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
Minimal/001 - Premiere： Mihai Popoviciu - What I Need [Sublease Music] - 2025.mp3,new,390.0,128.0,-10.42,-4.97,2867.0,2.423,0.7781,
Minimal/002 - Andrey Djackonda - Nature's Calling - 2025.mp3,new,490.6,127.1,-14.6,-10.64,2214.0,2.382,0.8353,
Minimal/003 - Lizz - The Grief [FSROD001] - 2024.mp3,new,622.5,128.0,-10.1,-6.59,2313.0,2.456,0.8967,
Minimal/004 - BRYZ - Sunset Cliffs [LongStory002] - 2025.mp3,new,469.2,126.0,-11.97,-7.89,1974.0,2.498,0.8672,
Minimal/005 - Livio & Roby - Cascada de EV - 2023.mp3,new,478.6,124.9,-13.96,-9.44,1961.0,2.738,0.8658,
Minimal/006 - Sublee - Simple Two (Original Mix) - 2024.mp3,new,431.5,126.1,-10.57,-6.34,2509.0,2.465,0.7205,
Minimal/007 - Vlad Arapasu - Floating Tone [LTH006] - 2026.mp3,new,453.9,97.4,-11.71,-7.8,1590.0,2.832,0.7105,
Minimal/008 - Barac - Spectral Processor - 2025.mp3,new,610.5,128.0,-13.84,-6.05,1802.0,2.585,0.9248,
Minimal/009 - Arapu - Take It Deep Down (Original Mix) - 2024.mp3,new,450.7,129.1,-9.87,-5.26,2376.0,2.221,0.922,
Minimal/010 - Continental VIII (kozo) - klaus rulowski - 2012.mp3,new,216.1,125.9,-14.63,-10.12,2344.0,1.592,0.7905,
Minimal/011 - Rhadoo & Traian Chereches - Gwen - 2025.mp3,new,486.7,128.0,-14.0,-7.3,3323.0,2.394,0.9003,
Minimal/012 - Sepp-Your Skin Smell (REFACELIMITED015) - 2026.mp3,new,520.0,130.0,-14.64,-7.88,2840.0,1.932,0.5171,
Minimal/013 - Nu Zau - Synthetic [LOKLTD002] - 2024.mp3,new,540.4,127.9,-14.51,-9.76,1550.0,2.342,0.672,
Minimal/014 - Crihan - Grushenka - 2024.mp3,new,504.6,124.0,-13.7,-8.74,2082.0,2.396,0.7964,
Minimal/015 - Cezar Lazar - Solo 2305 - 2026.mp3,new,594.6,126.0,-14.06,-9.09,1957.0,2.193,0.502,
Minimal/016 - Arapu - Over [Liniar005] - 2019.mp3,new,688.4,127.0,-19.1,-13.39,2002.0,2.899,0.8449,
Minimal/017 - Barac - Hypnotic Grayscale [YECAD004] - 2024.mp3,new,609.8,128.0,-17.13,-8.46,1266.0,2.645,0.7914,
Minimal/018 - Cristi Cons - Primordial - 2026.mp3,new,464.7,130.0,-10.33,-5.99,2297.0,2.099,0.7384,
Minimal/019 - Marcu Rares - Bonsoir - 2022.mp3,new,718.7,120.0,-12.98,-8.21,1783.0,1.782,0.7383,
Minimal/020 - BRYZ - Limerence [LongStory002] - 2025.mp3,new,640.5,126.6,-10.83,-7.39,1718.0,2.475,0.8239,
"Minimal/021 - Djebali, Tuccillo, Mehdi Djebali, Giuseppe Tuccillo - Shoreline Check - 2026.mp3",new,422.9,124.0,-10.19,-5.88,2400.0,2.754,0.9265,
"Minimal/022 - Locklead, Chris Stussy, Across Boundaries - Sakura (Original Mix) - 2025.mp3",new,384.1,130.0,-11.11,-6.98,2137.0,1.879,0.7247,
Minimal/023 - Pheek - Misty Steps - 2025.mp3,new,376.0,124.0,-13.14,-6.2,1969.0,3.08,0.8134,
Minimal/024 - Janeret - Mantrax - 2025.mp3,new,408.2,124.0,-13.45,-8.16,3164.0,2.273,0.779,
Minimal/025 - Toman - Seguimos - 2025.mp3,new,270.0,128.0,-9.15,-4.76,2638.0,1.883,0.8131,
Minimal/026 - Mihai Pol - Goliath - 2025.mp3,new,397.1,127.0,-11.23,-6.4,2120.0,2.177,0.808,
"Minimal/027 - Frits Wentink & Malin Genie, Frits Wentink, Malin Genie - Exopaq - 2025.mp3",new,329.1,70.4,-8.19,-4.9,1487.0,2.48,0.8299,
Minimal/028 - Fabe (Ger) - Still On Fizz - 2024.mp3,new,447.0,131.0,-13.11,-7.71,2659.0,2.301,0.8217,
"Minimal/029 - Varhat, Vincent Lubelli - Breaking Out - 2023.mp3",new,347.5,68.3,-9.54,-5.84,2609.0,2.092,0.8609,
Minimal/030 - Kolter - Who You Talking To？ - 2025.mp3,new,167.4,132.0,-11.71,-6.54,2498.0,1.91,0.6641,
"Minimal/031 - Julian Perez, Julian Perez - Voloka - 2025.mp3",new,349.8,129.0,-12.45,-7.19,2645.0,2.297,0.7313,
Minimal/032 - Traumer - All The Love - 2025.mp3,new,234.6,128.0,-12.44,-5.45,2766.0,2.033,0.7853,
Minimal/033 - Robin Ordell - Civic Tv [NTC004] - 2026.mp3,new,375.0,130.0,-10.75,-6.9,2438.0,1.645,0.8476,
Minimal/034 - Saktu - Fucha [HSBRGV014] - 2025.mp3,new,279.9,130.0,-10.83,-6.86,2016.0,2.564,0.8927,
"Minimal/035 - Sidney Charles, Archie Hamilton - Reset - 2025.mp3",new,243.7,130.0,-12.67,-8.03,2488.0,2.089,0.5766,
Minimal/036 - Enzo Siragusa - Kilimanjaro Sound - 2025.mp3,new,383.5,132.1,-10.79,-7.15,2928.0,2.524,0.8434,
Minimal/_played-before/037 - Honeydripper - All About You - 2017.mp3,_played-before,390.0,124.1,-10.49,-6.37,2268.0,2.052,0.8114,
Minimal/_played-before/038 - Quivver - See Through (Original Mix) - 2024.mp3,_played-before,405.0,124.0,-11.07,-5.07,2283.0,2.152,0.6265,
"Minimal/_played-before/039 - Stoilku, Mladen Stoiljkovic - Sve Je Mir - 2022.mp3",_played-before,594.2,124.1,-13.54,-7.82,1526.0,2.603,0.8531,
Minimal/_played-before/040 - KiRiK - Svoi Dom - 2023.mp3,_played-before,526.1,125.0,-11.18,-6.96,1574.0,2.654,0.8996,
Minimal/_played-before/041 - Frost - Overtones (Extended Mix) - 2020.mp3,_played-before,375.5,123.0,-13.81,-10.34,2324.0,1.605,0.5502,
Minimal/_played-before/042 - Soulva - Odyssey (Original Mix) - 2025.mp3,_played-before,429.3,123.0,-11.04,-7.41,2443.0,1.759,0.7719,
Minimal/_played-before/043 - Lose my Breath - 2024.mp3,_played-before,402.8,130.1,-11.56,-7.84,2311.0,2.543,0.8156,
Minimal/_played-before/044 - Nacho Scoppa - Y qué - 2026.mp3,_played-before,368.6,125.0,-11.72,-6.29,3391.0,2.194,0.8252,
Minimal/_played-before/045 - Holo - Ode To Else - 2024.mp3,_played-before,374.0,124.0,-11.39,-7.18,2015.0,2.332,0.818,
"Minimal/_played-before/046 - Robert Cecil, Robert Cecil, Robert Cecil - This Time Around - 2025.mp3",_played-before,391.7,125.0,-10.46,-8.09,2268.0,1.608,0.7979,
"Minimal/_played-before/047 - Patrice Meiner, Sasha Kaktus - Deep Tool (Original Mix) - 2016.mp3",_played-before,466.0,124.1,-13.63,-7.78,1994.0,2.631,0.8804,
Minimal/_played-before/048 - Hraach - No smile on the street(Original Mix) - 2015.mp3,_played-before,428.9,122.0,-10.8,-6.14,2739.0,2.586,0.8128,
Minimal/_played-before/049 - Deep Active Sound - Pia - 2016.mp3,_played-before,361.0,123.0,-13.62,-7.01,2272.0,2.42,0.8301,
Minimal/_played-before/050 - Bryz - Vapors - 2018.mp3,_played-before,562.0,123.0,-14.9,-10.65,1096.0,3.192,0.8534,
Minimal/_played-before/051 - BRYZ - Morning Light - 2018.mp3,_played-before,495.0,123.0,-13.15,-8.6,1674.0,3.619,0.9147,
Minimal/_played-before/052 - Crihan   Spune - 2020.mp3,_played-before,547.1,122.9,-16.84,-11.06,1727.0,2.687,0.9198,
Minimal/_played-before/053 - BRYZ - Birds - 2018.mp3,_played-before,455.0,123.0,-15.06,-10.23,1687.0,2.89,0.8505,
Minimal/_played-before/054 - BRYZ - Emotion - 2018.mp3,_played-before,546.0,123.1,-12.6,-6.54,1782.0,2.347,0.7958,
Minimal/_played-before/055 - Cojoc & Moldovan - Pleasure [STRYD001] - 2019.mp3,_played-before,558.0,124.1,-10.71,-6.73,1814.0,3.241,0.7277,
Minimal/_played-before/056 - Evren Ulusoy - Histoire d'amour - 2010.mp3,_played-before,404.5,124.0,-11.38,-7.36,2363.0,1.508,0.7319,
Minimal/_played-before/057 - Fuerteventura Deep Sound - REA4 - 2024.mp3,_played-before,483.9,124.0,-12.81,-7.91,2284.0,2.131,0.8334,
