path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
ProgressiveHouse/001 - Alex O'Rion - Flow [Meanwhile] - 2026.mp3,new,359.9,120.0,-12.06,-5.77,1880.0,1.694,0.6085,
ProgressiveHouse/002 - Alex O'Rion - The Singing Grove (Original Mix) [Movement Recordings] - 2025.mp3,new,477.1,122.0,-12.33,-6.44,2874.0,1.824,0.7426,
ProgressiveHouse/003 - Analog Jungs - Future Frequency (Extended Mix) - 2025.mp3,new,450.6,122.0,-10.88,-5.47,1829.0,2.154,0.6978,
"ProgressiveHouse/004 - Cid Inc., Dmitry Molosh - Aquamarine - 2026.mp3",new,512.3,122.0,-10.98,-6.55,2343.0,2.26,0.5983,
ProgressiveHouse/005 - Dmitry Molosh - Bird Flight [Proton Music] - 2026.mp3,new,452.1,120.0,-9.73,-5.4,2280.0,2.346,0.9032,
ProgressiveHouse/006 - Dosem - Levitize (Extended Mix) - 2026.mp3,new,377.0,125.0,-10.84,-5.82,2087.0,1.344,0.7237,
"ProgressiveHouse/007 - Durante, Mayro - Mantra (Extended Mix) - 2026.mp3",new,389.1,124.0,-8.97,-4.33,2633.0,2.22,0.6375,
ProgressiveHouse/008 - Ezequiel Arias - Perfect Dream (Extended Mix) - 2025.mp3,new,412.0,124.0,-11.35,-6.8,2833.0,2.053,0.5814,
ProgressiveHouse/009 - Ezequiel Arias - Psychodelia (Extended Mix) - 2026.mp3,new,388.3,125.0,-8.68,-6.6,2711.0,1.646,0.7339,
ProgressiveHouse/010 - Fauxplay & Anthony Pappa - Forever Seeking - 2026.mp3,new,466.7,124.1,-9.45,-5.98,2416.0,1.918,0.7348,
ProgressiveHouse/011 - Gai Barone & Luke Brancaccio - Bedrocking - 2025.mp3,new,366.0,122.0,-12.37,-7.69,2780.0,1.779,0.637,
ProgressiveHouse/012 - Gai Barone - Limbic (Extended Mix) [Univack] - 2026.mp3,new,475.1,122.0,-11.05,-6.94,1701.0,1.762,0.5955,
ProgressiveHouse/013 - Guy J - Rise [Global Underground] - 2026.mp3,new,511.7,122.0,-12.94,-6.94,2039.0,2.02,0.4708,
ProgressiveHouse/014 - Guy Mantzur & Khen - Where is Home (Original Mix) [Official Audio] - 2022.mp3,new,428.1,122.0,-11.4,-5.75,2660.0,2.139,0.7996,
ProgressiveHouse/015 - HAFT - Distant Blue (Extended Mix) - 2026.mp3,new,433.6,124.1,-10.44,-5.79,2309.0,2.768,0.7909,
ProgressiveHouse/016 - Jeremy Olander - Stylus - 2025.mp3,new,513.0,126.0,-9.99,-5.24,2265.0,2.119,0.7517,
"ProgressiveHouse/017 - John Digweed, Nick Muir, & Spencer Brown - Relentless (Extended Mix) - 2025.mp3",new,579.0,126.0,-9.7,-6.4,1985.0,1.827,0.7685,
ProgressiveHouse/018 - Juan Deminicis - Samhadi (Original Mix) - 2022.mp3,new,385.0,121.0,-12.56,-6.38,2229.0,2.379,0.7655,
ProgressiveHouse/019 - Kamilo Sanclemente - Parallel Moon - 2026.mp3,new,517.1,123.0,-10.52,-5.5,2215.0,2.043,0.7909,
ProgressiveHouse/020 - Kasey Taylor & Jamie Stevens - Hocu Pocu - 2026.mp3,new,503.2,123.0,-10.31,-6.1,2452.0,1.706,0.8688,
"ProgressiveHouse/021 - Lost Miracle, Sébastien Léger, Roy Rosenfeld - Guarana (Extended Mix) - 2025.mp3",new,441.7,122.1,-13.71,-7.28,2830.0,1.899,0.5724,
ProgressiveHouse/022 - Mariano Mellino - Poison [Tronic] - 2025.mp3,new,415.3,122.0,-9.65,-5.25,2412.0,1.812,0.8812,
ProgressiveHouse/023 - Matias Chilano - Metamorphosis (Original Mix) [Movement Recordings] - 2025.mp3,new,447.0,122.0,-11.16,-5.92,2503.0,1.549,0.5285,
ProgressiveHouse/024 - Nicholas Van Orton - Raven [Balkan Connection South America] - 2025.mp3,new,461.5,121.0,-10.14,-5.33,2369.0,2.692,0.9277,
ProgressiveHouse/025 - Nick Warren & Nicolas Rada - Fuego (Extended Mix) - 2026.mp3,new,407.0,124.0,-9.5,-5.52,2080.0,2.305,0.7773,
ProgressiveHouse/026 - Nicolas Rada - Glasgow [Meanwhile] - 2025.mp3,new,460.3,122.0,-11.57,-6.16,2528.0,2.469,0.7373,
ProgressiveHouse/027 - Nox Vahn & Marsh - Nemora (Extended Mix) - 2026.mp3,new,382.4,123.0,-11.89,-6.63,2533.0,1.353,0.5883,
ProgressiveHouse/028 - PREMIERE： Nicolas Rada - Riot [Meanwhile] - 2025.mp3,new,420.0,121.0,-14.42,-10.37,2752.0,1.646,0.4956,
"ProgressiveHouse/029 - PREMIERE： Simos Tagias, Roger Martinez - Inner Light (Original Mix) [MEANWHILE RECORDINGS] - 2026.mp3",new,538.2,120.0,-11.26,-5.31,2197.0,1.757,0.5935,
ProgressiveHouse/030 - Paul Deep - Tique - 2026.mp3,new,505.7,123.0,-11.87,-5.58,2265.0,2.184,0.627,
ProgressiveHouse/031 - Premiere： Alex O'Rion & Maze 28 - Glowing Tide - 2025.mp3,new,392.0,120.0,-11.89,-5.28,2695.0,1.898,0.6442,
ProgressiveHouse/032 - Premiere： Guy J - A Moment Of Clarity [Global Underground] - 2025.mp3,new,456.2,123.0,-9.7,-5.33,2528.0,2.165,0.8259,
"ProgressiveHouse/033 - Premiere： Hernan Cattaneo, Mercurio - 2009 [Last Night On Earth] - 2025.mp3",new,505.0,124.0,-11.06,-6.51,2081.0,1.557,0.716,
ProgressiveHouse/034 - Quivver & Dave Seaman - Starship Disco (Extended Mix) - 2026.mp3,new,431.1,125.0,-12.24,-6.19,2097.0,1.91,0.6361,
ProgressiveHouse/035 - Sasha - Hollow Sun 25 (Extended Mix) [Last Night On Earth] - 2026.mp3,new,471.4,127.0,-9.85,-7.04,2407.0,2.16,0.6862,
ProgressiveHouse/036 - Sebastian Sellares - Limbo - 2025.mp3,new,235.9,120.0,-13.0,-7.33,1871.0,2.256,0.4247,
ProgressiveHouse/037 - Simon Vuarambon - Diafana - 2025.mp3,new,453.0,121.0,-8.68,-5.95,2474.0,2.033,0.8393,
ProgressiveHouse/038 - Simos Tagias & Tonaco - Alnilam - 2026.mp3,new,478.1,122.0,-11.42,-5.15,2476.0,1.561,0.5915,
"ProgressiveHouse/039 - Volen Sentir, PROFF - Heidence - 2025.mp3",new,411.2,122.0,-10.97,-6.46,2723.0,2.283,0.7602,
ProgressiveHouse/_played-before/040 - Above & Beyond - Surge (PROFF & Igor Garanin Extended Mix) - 2023.mp3,_played-before,515.5,122.0,-11.93,-6.72,2062.0,1.974,0.5694,
ProgressiveHouse/_played-before/041 - Alex O'Rion & Ezequiel Arias - Solis (Original Mix) [Meanwhile] - 2022.mp3,_played-before,376.2,120.0,-13.55,-6.11,2460.0,1.976,0.5907,
ProgressiveHouse/_played-before/042 - Alex O'Rion - Echium (Original Mix) [meanwhile] - 2021.mp3,_played-before,468.3,120.0,-13.35,-6.43,2153.0,1.783,0.5752,
ProgressiveHouse/_played-before/043 - Aman Anand & Frankie Vertigo - Can't Stop [Gai Barone Extended Remix] [BEST PROGRESSIVE HOUSE] - 2026.mp3,_played-before,449.8,122.0,-11.62,-4.75,2639.0,2.068,0.7492,
ProgressiveHouse/_played-before/044 - Andrea Cassino & Greenage： Losing Part Of Me (Dmitry Molosh Remix) - 2020.mp3,_played-before,516.0,121.0,-14.03,-7.09,2282.0,2.393,0.8032,
ProgressiveHouse/_played-before/045 - Argy & Goom Gum - Pantheon [Extended Mix] - 2023.mp3,_played-before,382.4,120.0,-12.03,-6.21,2349.0,1.235,0.705,
ProgressiveHouse/_played-before/046 - BluePaper - Azimuth (Extended Mix) - 2023.mp3,_played-before,412.6,121.1,-13.66,-9.01,2424.0,1.84,0.4462,
ProgressiveHouse/_played-before/047 - Bondarev - Remote Control (HAFT Remix) [WARPP] - 2025.mp3,_played-before,375.6,123.0,-11.21,-6.43,2278.0,2.758,0.8696,
