first_added,plays,last_played,artist,title,youtube,year
2026-08-21T14:42:17,29,2026-09-11T11:07:00,Enviado Vida,Touch This Feeling,https://www.youtube.com/watch?v=vkOWw4kK9Jw,2026
2026-08-21T15:29:45,32,2026-09-11T08:30:59,Flexible Fire feat. Fractures,Toast,https://www.youtube.com/watch?v=DCOgwNYtGcs,2024
2026-08-21T17:02:49,31,2026-09-11T12:07:00,Dokho,Finding Solane,https://www.youtube.com/watch?v=rmCvVNdM48k,2026
2026-08-21T17:07:23,36,2026-09-11T12:13:00,zensei & Delaney Kai,sound therapy,https://www.youtube.com/watch?v=ulvjm3Hryl8,2024
2026-08-21T17:23:57,31,2026-09-11T09:03:59,rshand,Unworthy,https://www.youtube.com/watch?v=vc_WFWM9XGc,2025
2026-08-22T13:34:20,35,2026-09-11T04:57:57,Shingo Nakamura,Phenomena,https://www.youtube.com/watch?v=JSvmesrn8W4,2021
2026-08-22T13:37:08,31,2026-09-10T20:59:55,Flexible Fire,Marea Turquesa,https://www.youtube.com/watch?v=sirsE66P-Tg,2023
2026-08-22T13:52:02,34,2026-09-11T03:14:58,Ra5im & Arnie Way,Stranger,https://www.youtube.com/watch?v=5WyhaEtQd4w,2026
2026-08-22T13:52:51,30,2026-09-10T23:31:55,Dokho & Not Now Please,Two Lakes,https://www.youtube.com/watch?v=zBcJF5jdvNo,2024
2026-08-22T13:55:51,36,2026-09-11T10:47:00,A.M.R & Cornelius SA,Amber Sunlight Falls,https://www.youtube.com/watch?v=W0exXlH8lmo,2025
2026-08-22T13:58:51,31,2026-09-10T17:51:54,Dokho,Crystal Cave,https://www.youtube.com/watch?v=vMHa7fQjUYI,2025
2026-08-22T14:01:51,36,2026-09-10T07:30:26,Aftruu,Tribute to Me,https://www.youtube.com/watch?v=4VtsGuowCk8,2020
2026-08-22T14:06:51,35,2026-09-11T08:03:59,Enviado Vida,Best of Times,https://www.youtube.com/watch?v=QSq-4seLKyk,2020
2026-08-22T14:09:51,37,2026-09-11T04:21:57,Aftruu,Echoes of You,https://www.youtube.com/watch?v=NazPsQVyUU0,2024
2026-08-22T14:12:52,33,2026-09-11T11:50:00,Shingo Nakamura,Golden Leaves,https://www.youtube.com/watch?v=6MHE38ipz5g,2023
2026-08-22T14:15:52,26,2026-09-11T03:23:56,Enviado Vida,2 Years Later,https://www.youtube.com/watch?v=0NCe34_z5f8,2019
2026-08-22T14:22:52,30,2026-09-11T05:53:58,Stendahl,Parhelion,https://www.youtube.com/watch?v=3_4E__Q3cIY,2022
2026-08-22T14:25:48,27,2026-09-11T08:28:59,rshand,Leave It All,https://www.youtube.com/watch?v=Z70T_YfNGXc,2024
2026-08-22T14:30:37,33,2026-09-11T08:53:59,Jay FM,Wishful Thinking,https://www.youtube.com/watch?v=WxC2-GlQkgE,2021
2026-08-22T14:34:40,30,2026-09-11T08:13:59,Finding Mero,Still with Me,https://www.youtube.com/watch?v=z4OgjG1uXww,2026
2026-08-22T14:37:39,39,2026-09-11T05:01:57,"Mango, Cloudcage & Matt Sky",Calling,https://www.youtube.com/watch?v=bpNwlCMsMEc,2023
2026-08-22T14:40:38,33,2026-09-11T09:28:59,RAINE,Where You Go,https://www.youtube.com/watch?v=LvgZDccLBQQ,2026
2026-08-22T14:43:39,34,2026-09-11T06:30:58,Cloudcage,Ever Wanted,https://www.youtube.com/watch?v=0iDZdDnRQl0,2024
2026-08-22T14:46:38,37,2026-09-11T12:10:02,Flexible Fire feat. Alex Hentze,Añoranza,https://www.youtube.com/watch?v=u9EJcyTeCo8,2024
2026-08-22T14:51:38,27,2026-09-10T21:30:54,A.M.R & Brandon Mignacca,Fell Out of Love,https://www.youtube.com/watch?v=Gj3I5DJeNmM,2020
2026-08-22T14:55:38,34,2026-09-11T10:17:59,ORACLE,Sunrise,https://www.youtube.com/watch?v=BiqldZ37htc,2026
2026-08-22T14:59:37,38,2026-09-11T12:35:00,terro & TMPST,Halcyon,https://www.youtube.com/watch?v=f0U5ifr39zY,2025
2026-08-22T15:02:37,36,2026-09-11T10:01:59,Etza,Este,https://www.youtube.com/watch?v=4_4M0bhqqTc,2024
2026-08-22T15:04:37,32,2026-09-11T11:36:00,Flexible Fire,South Wind,https://www.youtube.com/watch?v=W_uZ_7ymBHs,2026
2026-08-22T15:07:38,41,2026-09-11T04:15:57,Aleyum & Arnie Way,Midnight Pulse,https://www.youtube.com/watch?v=USLr19ycpgU,2025
2026-08-22T15:10:37,28,2026-09-11T11:25:00,Arnie Way,Only You,https://www.youtube.com/watch?v=8ni40_TK1Zc,2026
2026-08-22T15:13:37,34,2026-09-11T07:36:58,Marsh,Belle,https://www.youtube.com/watch?v=s_xJtj1QOno,2017
2026-08-22T15:15:38,37,2026-09-11T08:42:59,Elypsis feat. Mandy Reign,I Won't Let Go,https://www.youtube.com/watch?v=iUa0hDMZocg,2018
2026-08-22T15:21:38,37,2026-09-11T02:39:56,Kaskade & Punctual feat. Poppy Baskcomb,Heaven Knows (Shingo Nakamura Remix),https://www.youtube.com/watch?v=epBvlzLVnZM,2025
2026-08-22T15:24:38,30,2026-09-11T11:04:00,Grafine,Dawn,https://www.youtube.com/watch?v=dRsan-ZKhuc,2026
2026-08-22T15:27:38,29,2026-09-11T04:45:57,rshand,Adore,https://www.youtube.com/watch?v=JF095evPRWA,2025
2026-08-22T15:29:38,32,2026-09-11T06:41:58,Dias Ridge & TMPST,Further & Further,https://www.youtube.com/watch?v=qZ9-EpGLc0k,2026
2026-08-22T15:32:38,40,2026-09-11T05:26:58,A.M.R,Silver Lining (Intro Mix),https://www.youtube.com/watch?v=udc7NkV5dH4,2018
2026-08-22T15:39:38,34,2026-09-11T12:41:00,Enviado Vida,Retinal Pathology,https://www.youtube.com/watch?v=9u7snvxNfUM,2017
2026-08-22T15:44:38,28,2026-09-10T16:23:53,Finding Mero,Since July,https://www.youtube.com/watch?v=mZ5LaPB3iZM,2026
2026-08-22T15:47:38,30,2026-09-11T07:43:58,Approaching Black,Amber Glow,https://www.youtube.com/watch?v=9kW6j_Nwqx8,2026
2026-08-22T15:50:38,40,2026-09-11T07:46:58,Archaellum,Something Beautiful,https://www.youtube.com/watch?v=vrJBcFgjO8c,2025
2026-08-22T15:55:38,32,2026-09-11T10:11:59,Flexible Fire & Enviado Vida,Drops of Dew,https://www.youtube.com/watch?v=iVUiCu8fTm4,2025
2026-08-22T15:58:38,34,2026-09-11T11:28:00,rshand,November,https://www.youtube.com/watch?v=EXpGyUmEroc,2025
2026-08-22T16:00:38,42,2026-09-11T09:21:59,Keanler & Lewyn,Oxygen,https://www.youtube.com/watch?v=Ky7ZER-HPy8,2023
2026-08-22T16:03:38,30,2026-09-11T02:23:56,Jake Kaiser,Kestrel,https://www.youtube.com/watch?v=j6AS5Qqg8LA,2021
2026-08-22T16:07:38,37,2026-09-11T10:50:00,A.M.R,Bittersweet,https://www.youtube.com/watch?v=9TScAgqMhvE,2026
2026-08-22T16:09:38,34,2026-09-11T03:20:56,OKASSUS,Allure,https://www.youtube.com/watch?v=eFqg297MF1A,2025
2026-08-22T16:12:38,29,2026-09-11T11:02:00,Elliot Vast,Paradise,https://www.youtube.com/watch?v=Qwr0d5Bnxj8,2026
2026-08-22T16:15:38,36,2026-09-11T02:15:56,Finding Mero,Solitude,https://www.youtube.com/watch?v=fpQJTrc8Mn8,2025
2026-08-22T16:18:38,33,2026-09-11T04:40:57,Approaching Black,What You Need,https://www.youtube.com/watch?v=5xOc0XDssbk,2019
2026-08-22T16:27:38,33,2026-09-11T10:59:00,Shingo Nakamura & Jordin Post,Take Me Away (A.M.R Remix),https://www.youtube.com/watch?v=OiJFZVTeyJk,2026
2026-08-22T16:30:38,32,2026-09-10T22:23:54,OKASSUS,Maraschino,https://www.youtube.com/watch?v=qZ7zL9y6Ue8,2026
2026-08-22T16:33:38,34,2026-09-11T06:34:58,Approaching Black,Closer,https://www.youtube.com/watch?v=xODMU22fI_U,2019
2026-08-22T16:37:38,36,2026-09-11T11:57:00,Faodail,Turning,https://www.youtube.com/watch?v=6P9etNc9yC4,2024
2026-08-22T16:41:38,35,2026-09-11T09:47:59,A.M.R x Blood Groove & Kikis,Lotus,https://www.youtube.com/watch?v=63ekSqU7x_k,2024
2026-08-22T16:44:38,27,2026-09-11T09:37:59,ATTLAS & Mango,Angel Montreal,https://www.youtube.com/watch?v=EHYOCkD_0-o,2026
2026-08-22T16:47:39,29,2026-09-10T23:25:55,A.M.R & MØØNE,Numb,https://www.youtube.com/watch?v=vQ7Fr_G-DT8,2025
2026-08-22T16:50:38,34,2026-09-11T06:15:58,Not Now Please,Don't Forget the Parachute,https://www.youtube.com/watch?v=Gd2uzKBot_w,2021
2026-08-22T16:53:39,33,2026-09-10T11:24:27,terro & TMPST,Never Let You Go,https://www.youtube.com/watch?v=afy1QtECPBs,2025
2026-08-22T16:56:39,30,2026-09-11T08:57:59,Mango & Cloudcage,More Than This,https://www.youtube.com/watch?v=jMd5V8oJJDE,2023
2026-08-22T17:00:39,38,2026-09-11T07:23:58,Flexible Fire,Alpina,https://www.youtube.com/watch?v=eS6AW6GJI9E,2022
2026-08-22T17:03:39,27,2026-09-11T12:18:00,Finding Mero,In Loving Memories,https://www.youtube.com/watch?v=tIMTAYzT4EY,2023
2026-08-22T17:06:39,37,2026-09-11T07:17:58,TOMB & LAR,Trails,https://www.youtube.com/watch?v=vM8JJZTltfI,2023
2026-08-22T17:09:39,31,2026-09-10T20:56:55,A.M.R,Outer Space,https://www.youtube.com/watch?v=IWt9LHJIHRM,2024
2026-08-22T17:12:39,28,2026-09-11T11:46:00,Dokho,Samaria,https://www.youtube.com/watch?v=LvgaUl4StmU,2023
2026-08-22T17:16:39,38,2026-09-11T07:29:58,Aftruu,Falling Asleep,https://www.youtube.com/watch?v=rFIUaGouZOc,2023
2026-08-22T17:19:39,28,2026-09-09T22:59:22,Finding Mero,Glass Souls,https://www.youtube.com/watch?v=iWDQhfj13Do,2025
2026-08-22T17:22:39,28,2026-09-11T05:16:57,Flexible Fire,Nido del Águila,https://www.youtube.com/watch?v=FxkutDSycfA,2020
2026-08-22T17:26:39,29,2026-09-11T03:30:56,Arnie Way,Let Go,https://www.youtube.com/watch?v=0FM53QHOVyo,2026
2026-08-22T17:29:39,32,2026-09-11T08:36:59,Gregory Esayan,Make a Wish (Jay FM Remix),https://www.youtube.com/watch?v=XnHe38WuNRo,2018
2026-08-22T17:35:39,32,2026-09-11T03:42:57,ORACLE & JEANS,Evergreen,https://www.youtube.com/watch?v=rgJiQE8g6i4,2026
2026-08-22T17:37:39,35,2026-09-11T02:12:56,Glaue,Kykeon,https://www.youtube.com/watch?v=-D0SUWAO0Cc,2021
2026-08-22T17:40:39,29,2026-09-11T04:24:57,Flexible Fire & Dias Ridge,Time Trials,https://www.youtube.com/watch?v=44RADOSEBrQ,2023
2026-08-22T17:43:40,34,2026-09-11T01:40:56,Claes Rosen,One-sided Love,https://www.youtube.com/watch?v=ZWqxQAVHJGc,2020
2026-08-22T17:47:39,29,2026-09-10T15:11:59,ORACLE,Echoes,https://www.youtube.com/watch?v=AYvDjyUoFdg,2022
2026-08-22T17:50:39,36,2026-09-11T12:01:00,Marsh,Mini Anthem,https://www.youtube.com/watch?v=9cijriF2Nmo,2017
2026-08-22T17:54:39,29,2026-09-11T09:06:59,oncor,By Myself,https://www.youtube.com/watch?v=ulPeB-i4Ca4,2025
2026-08-22T17:57:39,28,2026-09-11T06:54:58,Flexible Fire,Laguna Azul,https://www.youtube.com/watch?v=oh9pielm21M,2022
2026-08-22T18:00:39,37,2026-09-11T06:07:58,ORACLE,Breathless,https://www.youtube.com/watch?v=U2gwQuqW0ks,2026
2026-08-22T18:03:39,29,2026-09-11T07:26:58,Dokho & Fløa,Velvia,https://www.youtube.com/watch?v=N2N1NvHFjWE,2026
2026-08-22T18:06:39,26,2026-09-10T12:32:28,Flexible Fire,Starfall,https://www.youtube.com/watch?v=Tms42B7NoRs,2026
2026-08-22T18:09:39,36,2026-09-11T10:39:00,Cloudcage & Mango,"Much Is Taken, Much Abides",https://www.youtube.com/watch?v=ZQ7FD8-WCLM,2024
2026-08-22T18:13:39,28,2026-09-11T11:44:00,Liam Thomas,Tokyo,https://www.youtube.com/watch?v=IvnZ_fwbdGY,2024
2026-08-22T18:21:40,30,2026-09-11T12:31:00,Enviado Vida & Clarico,A Sudden Display of Life,https://www.youtube.com/watch?v=CKLnIbCabAI,2024
2026-08-22T18:25:40,32,2026-09-11T09:16:59,Shingo Nakamura,Focus,https://www.youtube.com/watch?v=j8p7dj4p8aA,2022
2026-08-22T18:30:40,30,2026-09-11T05:04:57,Approaching Black,Dream Whispers,https://www.youtube.com/watch?v=nON5TF9z1iw,2026
2026-08-22T18:35:40,34,2026-09-11T07:39:58,TOMB,Unbound,https://www.youtube.com/watch?v=CSdCnja9y5M,2023
2026-08-22T18:39:40,36,2026-09-11T08:19:59,Approaching Black & Shingo Nakamura,I'm Still Breathing,https://www.youtube.com/watch?v=ATzJbe3dmyI,2019
2026-08-22T18:44:40,36,2026-09-11T11:30:00,Enviado Vida,Dirty INC.,https://www.youtube.com/watch?v=rP0esO47GPw,2018
2026-08-22T18:50:40,32,2026-09-11T10:42:00,Jay FM,Timeless,https://www.youtube.com/watch?v=Yj0QLq36_RE,2018
2026-08-22T18:54:40,38,2026-09-11T07:55:58,Jay FM,Voices,https://www.youtube.com/watch?v=p3X3qHcQnDk,2018
2026-08-22T19:00:40,36,2026-09-11T00:33:55,Flexible Fire,La Cumbre,https://www.youtube.com/watch?v=6nP6tKAekdU,2021
2026-08-22T19:08:40,32,2026-09-11T06:21:58,Seawayz,Be Better,https://www.youtube.com/watch?v=4ZTf9e-pJ-0,2026
2026-08-22T19:13:40,38,2026-09-11T08:00:59,A.M.R,Sealine,https://www.youtube.com/watch?v=CscnOkIPqdM,2024
2026-08-22T19:19:40,40,2026-09-11T12:25:00,A.M.R,A Flicker of Hope,https://www.youtube.com/watch?v=kJf3r9_g_gw,2025
2026-08-22T19:22:40,31,2026-09-11T09:00:59,Flexible Fire & Dias Ridge,Eucalyptus,https://www.youtube.com/watch?v=7tF4t3UlZ4s,2025
2026-08-22T19:28:40,31,2026-09-11T08:07:59,Blood Groove & Kikis,Places,https://www.youtube.com/watch?v=sJkG6tW8qaM,2026
2026-08-22T19:32:40,34,2026-09-11T10:35:00,Stendahl,Austrumi,https://www.youtube.com/watch?v=ePDD8q2HZL8,2022
2026-08-22T19:36:40,28,2026-09-11T06:52:58,Ra5im,Zen,https://www.youtube.com/watch?v=IkbsCLPc0QE,2025
2026-08-22T19:38:41,31,2026-09-11T07:48:58,Meeting Molly,Westeros,https://www.youtube.com/watch?v=SMSNDfnh3iI,2020
2026-08-22T19:44:40,37,2026-09-11T10:53:00,Archaellum,Threads,https://www.youtube.com/watch?v=_gK4_Usni2c,2021
2026-08-22T19:47:40,32,2026-09-11T08:10:59,DUALIS,Avalon,https://www.youtube.com/watch?v=KWMFU6Rwp1I,2025
2026-08-22T20:01:41,32,2026-09-11T10:07:59,A.M.R & Fractures,Mirrorball,https://www.youtube.com/watch?v=qknuK_XFCHI,2023
2026-08-22T20:04:41,37,2026-09-11T12:46:00,Elypsis,Into the Storm,https://www.youtube.com/watch?v=RZldI0DslWA,2017
2026-08-22T20:13:40,32,2026-09-11T11:22:00,Ra5im,Creation,https://www.youtube.com/watch?v=_2YhJ4O_Xdg,2025
2026-08-22T20:19:40,32,2026-09-11T03:11:56,Dokho & Not Now Please,Follow the Princess,https://www.youtube.com/watch?v=MzypNcRJ2-w,2023
2026-08-22T20:23:41,35,2026-09-11T05:43:57,Banyan,Ephemeral,https://www.youtube.com/watch?v=fl516hSVcxQ,2025
2026-08-22T20:44:40,30,2026-09-11T02:03:56,Approaching Black,You Fill My Soul,https://www.youtube.com/watch?v=RaBvtR_JR2g,2022
2026-08-22T20:48:41,37,2026-09-10T19:40:54,A.M.R,Voyager,https://www.youtube.com/watch?v=a6cJOgyXuYs,2019
2026-08-22T20:54:41,32,2026-09-11T10:20:59,rshand,Overthinking,https://www.youtube.com/watch?v=czUD-NvayX0,2025
2026-08-22T21:06:41,39,2026-09-11T08:33:59,Dokho,Saganaki,https://www.youtube.com/watch?v=kz7uXRd9840,2023
2026-08-22T21:15:41,34,2026-09-11T11:53:00,Aftruu,Words Left Unsaid,https://www.youtube.com/watch?v=iO-KfQ7I3ek,2022
2026-08-22T21:19:41,32,2026-09-11T05:13:57,Dias Ridge & TMPST,Pendulum,https://www.youtube.com/watch?v=Vt0lOE3xU2I,2026
2026-08-22T21:23:41,31,2026-09-11T11:20:00,oncor,Find Yourself Again,https://www.youtube.com/watch?v=6EeQQbHyseY,2025
2026-08-22T21:25:41,36,2026-09-11T10:29:00,Flexible Fire,Unfolding Road,https://www.youtube.com/watch?v=29qKJZR8ybk,2026
2026-08-22T21:34:41,37,2026-09-11T03:50:57,MXV & Courtney Storm,Can You,https://www.youtube.com/watch?v=IKTpwxCfbrI,2025
2026-08-22T21:37:41,31,2026-09-10T19:37:54,Shingo Nakamura & MØØNE,Cautious Love,https://www.youtube.com/watch?v=B8_OQG4-Dp0,2026
2026-08-22T21:43:41,37,2026-09-11T09:24:59,zensei,Marina del Rey,https://www.youtube.com/watch?v=NhCtXynIVuE,2024
2026-08-22T21:46:41,35,2026-09-11T11:39:00,Elypsis,Open Road,https://www.youtube.com/watch?v=UjUD7blqAhg,2017
2026-08-22T22:01:41,38,2026-09-11T12:16:00,DUALIS,Ride,https://www.youtube.com/watch?v=KHsvX6asY8c,2024
2026-08-22T22:03:41,39,2026-09-11T09:09:59,Sound Quelle,Melancholy Strings,https://www.youtube.com/watch?v=_Q19208OUDc,2021
2026-08-22T22:33:42,36,2026-09-11T09:30:59,A.M.R,Pale Blue,https://www.youtube.com/watch?v=SYSStJbF884,2019
