first_added,plays,last_played,artist,title,youtube,year
2026-09-09T21:15:06,6,2026-09-11T08:47:22,M.O.S. & Kamilo Sanclemente & Andre Moret,Perception,https://www.youtube.com/watch?v=6Pj4ZYksQpI,2026
2026-09-09T21:16:36,1,2026-09-09T21:16:36,Dynacom (Arg),Freya,https://www.youtube.com/watch?v=C_N3GsB_L4E,2019
2026-09-09T21:20:48,1,2026-09-09T21:20:48,Federico Cabrera & Franbro & Agustin Pietrocola,Libra,https://www.youtube.com/watch?v=AWhetu9fwzM,2025
2026-09-09T21:22:23,1,2026-09-09T21:22:23,Tinlicker,Mothership,https://www.youtube.com/watch?v=pR5h9nLionQ,2026
2026-09-09T21:23:58,1,2026-09-09T21:23:58,Alessio Pennati,Synergy Wave,https://www.youtube.com/watch?v=ZkJmeM-6eSA,2021
2026-09-09T21:28:09,1,2026-09-09T21:28:09,212FAHRENHEIT,Black Perl,,
2026-09-09T21:32:53,1,2026-09-09T21:32:53,Eli Spiral,Planet 9,https://www.youtube.com/watch?v=ht5EaBu0tJ4,2018
2026-09-09T21:36:16,5,2026-09-11T06:09:02,Oliver Schories,Almost,https://www.youtube.com/watch?v=0qox8H2AXuw,2025
2026-09-09T21:37:50,1,2026-09-09T21:37:50,Losann,Sturgeon Moon (Stan Kolev Remix),https://www.youtube.com/watch?v=XIVjRpBZR2o,2019
2026-09-09T21:41:44,1,2026-09-09T21:41:44,Sebastian Glazba & Nacjus,Love Again,https://www.youtube.com/watch?v=e6q0pWq0qA0,2024
2026-09-09T21:43:32,1,2026-09-09T21:43:32,Phillosopher,Lightwaves,,
2026-09-09T21:45:07,1,2026-09-09T21:45:07,Dzhura,Fear War,https://www.youtube.com/watch?v=Nlz40AEHY3E,2018
2026-09-09T21:48:29,1,2026-09-09T21:48:29,Dub Pepper & Februm,Trumpet,,
2026-09-09T21:50:22,6,2026-09-11T11:11:18,Andre Winter & Boho,Brunswick,https://www.youtube.com/watch?v=WWTe1KPGixo,2026
2026-09-09T21:51:52,1,2026-09-09T21:51:52,Nahuel Carrizo,Blind in the Mist (Torby Jay Remix),https://www.youtube.com/watch?v=Z6ZGoinyq-E,2019
2026-09-09T21:56:04,1,2026-09-09T21:56:04,Foals & Rufus Du Sol,The Runner,https://www.youtube.com/watch?v=xuz9xuPzuI0,2019
2026-09-09T22:01:19,1,2026-09-09T22:01:19,One Rock State,New Way,https://www.youtube.com/watch?v=HeEPjtA1dyc,2020
2026-09-09T22:05:26,6,2026-09-11T11:20:50,DR. Mirzoyan & Ruben Karapetyan,Destruction,https://www.youtube.com/watch?v=och_plYiGk4,2025
2026-09-09T22:07:01,1,2026-09-09T22:07:01,Naasa & The Khitrov,Reversion,https://www.youtube.com/watch?v=sdz8mXGc154,2022
2026-09-09T22:08:40,1,2026-09-09T22:08:40,Art in Motion,Orange Not Black,https://www.youtube.com/watch?v=G3vGHNkC47M,2019
2026-09-09T22:12:52,1,2026-09-09T22:12:52,Oliver Harper,Chaparral,https://www.youtube.com/watch?v=RcwZgW-ocWI,2018
2026-09-09T22:15:43,1,2026-09-09T22:15:43,Chelakhov & Gero Pellizzon,Searching,https://www.youtube.com/watch?v=1d0ywHpHd7s,2026
