first_added,plays,last_played,artist,title,youtube,year
2026-09-04T09:47:59,1,2026-09-04T09:47:59,ST.EGO,Ksenia,https://www.youtube.com/watch?v=k7s1cIcWAUM,2026
2026-09-04T09:53:41,1,2026-09-04T09:53:41,Wodash Stogh,Storm,https://www.youtube.com/watch?v=7TmwadINuqM,2025
2026-09-04T09:58:07,4,2026-09-05T06:44:38,M-sol Deep,Ocean and Whales,https://www.youtube.com/watch?v=MZ5egkphhWs,2026
2026-09-04T10:02:10,1,2026-09-04T10:02:10,Dangelo Witker,Lest's Flow,https://www.youtube.com/watch?v=8VoCeH51vwE,2025
2026-09-04T10:05:46,1,2026-09-04T10:05:46,Emi Brandan,Feel Natural,https://www.youtube.com/watch?v=vAGSlVnWMv0,2025
2026-09-04T10:10:34,4,2026-09-05T06:54:59,Desert Dwellers,Traversing the Endless Road (Anton Tumas Remix),https://www.youtube.com/watch?v=SYSDnwgepyc,2026
2026-09-04T10:15:13,1,2026-09-04T10:15:13,Erdi Irmak,Signal Lost,https://www.youtube.com/watch?v=Q0k3a8gvhY0,2025
2026-09-04T10:19:56,1,2026-09-04T10:19:56,Dsf,Mystika (Lost Desert Remix),https://www.youtube.com/watch?v=MR1Vi7aRpx0,2020
2026-09-04T10:23:55,4,2026-09-05T07:04:03,Dune Echo,Area 51,https://www.youtube.com/watch?v=lVvTdIWArdA,2025
2026-09-04T10:27:35,1,2026-09-04T10:27:35,El Mundo & Zazou,All Along the Way,https://www.youtube.com/watch?v=98DbtRk6P6c,2020
2026-09-04T10:31:20,1,2026-09-04T10:31:20,ST.EGO,Time Stands Still,https://www.youtube.com/watch?v=m8D3UFS7-9s,2026
2026-09-04T10:36:04,4,2026-09-05T07:11:29,Nicolas Viana,Blaze (Molac Remix),https://www.youtube.com/watch?v=sxRAKD6Mh4U,2025
2026-09-04T10:40:56,1,2026-09-04T10:40:56,Scabeni,Mists of Time,https://www.youtube.com/watch?v=qoQ01TSInpI,2021
2026-09-04T10:44:41,1,2026-09-04T10:44:41,Aiwaska & Starving Yet Full,Lost Dream,https://www.youtube.com/watch?v=zp3bfsvMgPo,2021
2026-09-04T10:49:43,3,2026-09-05T07:24:59,Niko Ava,Amazonia,https://www.youtube.com/watch?v=QufS0dkOxzU,2025
2026-09-04T10:54:26,1,2026-09-04T10:54:26,Sebastian Sellares,Garden of Eden,https://www.youtube.com/watch?v=FX8hBmgAbsM,2021
2026-09-04T10:58:34,3,2026-09-05T07:37:39,Taleon,Laneia,https://www.youtube.com/watch?v=2Wjl6yXep50,2026
2026-09-04T11:02:32,1,2026-09-04T11:02:32,Hraach & Armen Miran,NowHere,https://www.youtube.com/watch?v=P5HUNRUT-nY,2019
2026-09-04T11:05:46,3,2026-09-05T07:51:14,Amonita,Frozen Soul,https://www.youtube.com/watch?v=m3a3PYgMI2w,2026
2026-09-04T11:09:26,1,2026-09-04T11:09:26,Hitlis,Wake Up,https://www.youtube.com/watch?v=Ity_PK31XvA,2025
2026-09-04T11:14:23,1,2026-09-04T11:14:23,Limara,Dragonfly,https://www.youtube.com/watch?v=XzLNKZs1HUo,2025
2026-09-04T11:17:32,3,2026-09-05T08:02:06,Slow Ted,Antarctica (K.O.G.A.N Remix),https://www.youtube.com/watch?v=T-XF7-Px264,2025
2026-09-04T11:21:26,1,2026-09-04T11:21:26,Bk Yatra,Echoes of the Savannah,https://www.youtube.com/watch?v=XVnhUefedfI,2026
2026-09-04T11:24:49,1,2026-09-04T11:24:49,Chris Cargo,Shinichi,https://www.youtube.com/watch?v=hECRAHKFTec,2022
2026-09-04T11:28:02,3,2026-09-05T08:13:08,Anton Ishutin,Tale of Infinity,https://www.youtube.com/watch?v=T-vznICBdPg,2026
2026-09-04T11:30:58,1,2026-09-04T11:30:58,FON.LEMAN,Vanassa,https://www.youtube.com/watch?v=42DAHSZOsEI,2026
2026-09-04T11:35:24,1,2026-09-04T11:35:24,Gorge,Indian Summer,https://www.youtube.com/watch?v=84yPBf1VN08,2026
2026-09-04T11:41:37,3,2026-09-05T08:20:29,Glenn Morrison & Night Waves (Uk),Underneath The Frequency,https://www.youtube.com/watch?v=QYIX9pX7wsI,2026
2026-09-04T11:45:49,1,2026-09-04T11:45:49,Limetra & Ranta,Caravan,https://www.youtube.com/watch?v=MrEzN8_oLLA,2026
2026-09-04T11:49:43,1,2026-09-04T11:49:43,Ivor Zegra,Escape From Heaven,https://www.youtube.com/watch?v=f4cwRdD7PWc,2026
2026-09-04T11:54:27,3,2026-09-05T08:28:31,Greg Ochman,Hot Casa,https://www.youtube.com/watch?v=WWpU-1mtV-Q,2026
2026-09-04T11:58:03,1,2026-09-04T11:58:03,Cafe de Anatolia,Karwan,https://www.youtube.com/watch?v=Pdv5Q8Dum7s,2026
2026-09-04T12:01:57,1,2026-09-04T12:01:57,Matur,Teri Marzi,https://www.youtube.com/watch?v=WYNSgE5t3UQ,2026
2026-09-04T12:07:12,3,2026-09-05T08:41:11,Marc Samuel,Zen Beach,https://www.youtube.com/watch?v=aIwwPeB6XVQ,2026
2026-09-04T12:11:15,1,2026-09-04T12:11:15,Carlos Bacchus,Sirio,https://www.youtube.com/watch?v=b0RvIEa3zfk,2026
2026-09-04T12:15:54,3,2026-09-05T08:51:32,Limetra & Ranta,Bloom,https://www.youtube.com/watch?v=CLGHQNWSdUk,2026
2026-09-04T12:21:09,1,2026-09-04T12:21:09,David Petros,Mongo,https://www.youtube.com/watch?v=Ndwt66uUrho,2026
2026-09-04T12:25:43,3,2026-09-05T09:04:35,Nichols & Roark,Melodica,https://www.youtube.com/watch?v=00sgS_f0rYM,2025
2026-09-04T12:30:58,1,2026-09-04T12:30:58,Davi,Forbidden City (Khen Remix),https://www.youtube.com/watch?v=btEzQVEhQWU,2024
2026-09-04T12:35:51,1,2026-09-04T12:35:51,Bonfante,Broken Infinity,https://www.youtube.com/watch?v=gnwW-kGL-I0,2020
2026-09-04T12:40:07,3,2026-09-05T09:16:26,Jody Wisternoff & David Hohme,5 Years (mredrollo & Artic White Remix),https://www.youtube.com/watch?v=Op3ouu4cLf4,2026
2026-09-04T12:43:16,1,2026-09-04T12:43:16,Dzhef,Flyuktu,https://www.youtube.com/watch?v=gllfovsRBUg,2022
2026-09-04T12:47:15,1,2026-09-04T12:47:15,Panyer,Undercurrent,https://www.youtube.com/watch?v=Sh99U8IKHb8,2024
2026-09-04T12:50:33,3,2026-09-05T09:27:32,Acarya,Echoes From a Hidden Sky,https://www.youtube.com/watch?v=bWZs9Y9wX1o,2026
2026-09-04T12:55:30,1,2026-09-04T12:55:30,Taleman,Inspiration,https://www.youtube.com/watch?v=4R1LM1YTh6g,2022
2026-09-04T12:58:12,1,2026-09-04T12:58:12,Bohem,Berlin,https://www.youtube.com/watch?v=3B9S24fGuNk,2021
2026-09-04T13:01:52,3,2026-09-05T09:36:05,Ivan Garci,Pure Reflections,https://www.youtube.com/watch?v=3XUN-tlppZ4,2026
2026-09-04T13:07:16,1,2026-09-04T13:07:16,Kamilo Sanclemente,Balade (Plecta Remix),https://www.youtube.com/watch?v=xBJdy3XAGNs,2024
2026-09-04T13:12:09,1,2026-09-04T13:12:09,Different Ray,Beneath the Stars,https://www.youtube.com/watch?v=A_ahB_G_Xv4,2024
2026-09-04T13:17:06,3,2026-09-05T09:44:52,Alex Spite & Lubovsolo,Love Is You,https://www.youtube.com/watch?v=N4Surm4o_ZE,2026
2026-09-04T13:21:22,1,2026-09-04T13:21:22,Ghenwa Nemnom,Gaia,https://www.youtube.com/watch?v=V6RW7GLDmB0,2021
2026-09-04T13:26:10,1,2026-09-04T13:26:10,Above & Beyond,Surge (PROFF & Igor Garanin Remix),https://www.youtube.com/watch?v=I49aXXi_gDU,2023
2026-09-04T13:31:03,3,2026-09-05T09:59:03,ST.EGO,Aroma of Rain,https://www.youtube.com/watch?v=zszYqqVal98,2026
2026-09-04T13:35:15,1,2026-09-04T13:35:15,Proff,Nara,https://www.youtube.com/watch?v=bdkfihtPs7Y,2022
